2017-06-14 09:27:22,037 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: fr.exia:boulderdash:0.0.1-SNAPSHOT @ C:\Users\Balentin's\Desktop\Projet Java\GitHub\Projet-Java\BoulderDash-BaseProject\BoulderDash\pom.xml.
2017-06-14 09:27:22,474 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for fr.exia:model:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-06-14 09:27:22,556 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: fr.exia:main:0.0.1-SNAPSHOT @ C:\Users\Balentin's\Desktop\Projet Java\GitHub\Projet-Java\BoulderDash-BaseProject\BoulderDash\main\pom.xml.
2017-06-14 09:27:22,565 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for fr.exia:model:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-06-14 09:27:22,751 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: fr.exia:view:0.0.1-SNAPSHOT @ C:\Users\Balentin's\Desktop\Projet Java\GitHub\Projet-Java\BoulderDash-BaseProject\BoulderDash\view\pom.xml.
2017-06-14 09:27:22,762 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-14 09:27:22,763 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Balentin's\Desktop\Projet Java\GitHub\Projet-Java\BoulderDash-BaseProject\BoulderDash\main\src\main\resources
2017-06-14 09:27:22,765 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-14 09:27:22,766 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Balentin's\Desktop\Projet Java\GitHub\Projet-Java\BoulderDash-BaseProject\BoulderDash\main\src\test\resources
2017-06-14 09:27:22,784 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: fr.exia:contract:0.0.1-SNAPSHOT @ C:\Users\Balentin's\Desktop\Projet Java\GitHub\Projet-Java\BoulderDash-BaseProject\BoulderDash\contract\pom.xml.
